name,streamId
Pun1shers_TV,67970187
Piperakos,54021966
SonOfZeus_TV,106203226
Avelline_,202409970
Dom1nant1337,35050215
GRamers,43255578
ChinnJ,142153298
DD_Warrior_Lady,65113482
iliasgrGaming,42246999
Axeloukos,21074141
FORG1VENAPM,114623039
Tsili6969,48981694
TL_Nero,92078908
LoLHellas,136968261
Fonikibekatsa,82948335
J0J0C69,122639650
pao_logan,25180138
gre_frost,116152659
SLaki,28323806
HackyPixelz,25663881
iusedtobefamousbuthen,61291084
SophieSensei,195155563
PGC_S1,53195492
Santova_,181349000
poul_maniac,60719956
Oldschool,33945828
blackfiction87,98457793
ANTILIPSI,127361301
L1l1th12,125031514
BazeGR,36397469
M_aDaR_A,21952830
Decpina_Nez,117530533
sparks200iq,110554322
ControllerByte,91649118
YoMaMaTivi,185719411
Wea91,71621819
Totyz,63052973
PantezzzzZ,126245773
MadneyYT,264336138
Hareas,118869116
Nooblet9,144754235
daenap,150412998
elmagician18,149683117
theMachoDude,144435285
LegitGamingGR,37054001
sofini1,81312378
vaal_blade,90072685
GucciKitty,127266595
Annoubi,100912385
RantingGreekGamer,52863785
This_Is_LilO,136863383
johnmits,119249109
DezDyy,100363980
mitsigas,93780124
Tholwmenos,100415330
shad0wst3ps,235473435
DaskaYT,213770120
ConvictoZ,201939057
Team_Boo,44069942
Wikip3diotGames,41537534
JOZO_Y,80472098
Ste4VeN,161436277
hqcM,132857921
SkyFrostTube,174898053
ldlc_comp,165204409
imisslethal_hs,115278418
l0wprofile,176860024
ChaniaLiveTV,417561655
Banned_lRL,250486039
HungryPandaLOL,89134594
anastasiaant7,187910095
MordeKillGR,114124993
MadNaab,63573499
VroukoS,126111108
immortalgre1,407883564
f3els98,190253012
im_thewolf1,422055665
Jordaneiro,148458418
JustSsInTime,196931842
MaZzzZGR,39195468
bugaimerGR,54188260
kemalyoxd,91645638
paotasos13,166106942
n1kos_300,90747736
DRAGOMANVR,44339427
